Республика Адыгея ; -0.5
Республика Башкортостан ; 1.2
Республика Бурятия ; 5.9
Республика Алтай ; 7.8
Республика Дагестан ; 12.8
Республика Ингушетия ; 15.3
Кабардино-Балкарская Республика ; 5.8
Республика Калмыкия ; 3.8
Республика Карачаево-Черкессия ; 2.8
Республика Карелия ; -3.1
Республика Коми ; 1.3
Республика Марий Эл ; 0.8
Республика Мордовия ; -4.5
Республика Саха  (Якутия) ; 8.5
Республика Северная Осетия ; 3.9
Республика Татарстан ; 2.7
Республика Тыва ; 13.4
Удмуртская республика ; 1.7
Республика Хакасия ; 1.3
Чеченская республика ; 18.3
Чувашская республика ; 0.7
Алтайский край ; -1.6
Краснодарский край ; 0.5
Красноярский край ; 1.7
Приморский край ; -0.8
Ставропольский край ; 1.4
Хабаровский край ; 0.9
Амурская область ; -0.6
Архангельская область ; -1.4
Астраханская область ; 2.2
Белгородская область ; -2.4
Брянская область ; -4.4
Владимирская область ; -4.9
Волгоградская область ; -2.3
Вологодская область ; -1.0
Воронежская область ; -4.3
Ивановская область ; -4.7
Иркутская область ; 1.7
Калининградская область ; -0.5
Калужская область ; -2.4
Камчатский край ; 1.7
Кемеровская область ; -2.0
Кировская область ; -2.5
Костромская область ; -3.5
Курганская область ; -2.8
Курская область ; -4.6
Ленинградская область ; -5.0
Липецкая область ; -3.7
Магаданская область ; 0.0
Московская область ; 0.1
Мурманская область ; 0.4
Нижегородская область ; -3.3
Новгородская область ; -5.7
Новосибирская область ; 1.1
Омская область ; 1.0
Оренбургская область ; 0.1
Орловская область ; -5.2
Пензенская область ; -4.2
Пермский край ; 0.5
Псковская область ; -7.1
Ростовская область ; -1.8
Рязанская область ; -4.7
Самарская область ; -1.4
Саратовская область ; -2.7
Сахалинская область ; 0.4
Свердловская область ; 0.2
Смоленская область ; -5.8
Тамбовская область ; -6.2
Тверская область ; -6.4
Томская область ; 2.1
Тульская область ; -6.6
Тюменская область ; 5.3
Ульяновская область ; -3.0
Челябинская область ; 0.0
Забайкальский край ; 2.5
Ярославская область ; -3.4
Санкт-Петербург ; 1.7
Еврейская автономная область ; -1.4
Республика Крым ; -2.7
Ненецкий АО ; 8.2
Ханты-Мансийский АО ; 10.2
Чукотский АО ; 3.9
Ямало-Ненецкий АО ; 11.3
Севастополь ; -1.5
Москва ; 1.7
