Республика Адыгея ; 12.8
Республика Башкортостан ; 14.5
Республика Бурятия ; 17.4
Республика Алтай ; 22.4
Республика Дагестан ; 19.0
Республика Ингушетия ; 22.6
Кабардино-Балкарская Республика ; 15.9
Республика Калмыкия ; 14.8
Республика Карачаево-Черкессия ; 13.5
Республика Карелия ; 12.5
Республика Коми ; 13.9
Республика Марий Эл ; 14.2
Республика Мордовия ; 9.9
Республика Саха  (Якутия) ; 17.6
Республика Северная Осетия ; 15.0
Республика Татарстан ; 14.5
Республика Тыва ; 26.5
Удмуртская республика ; 15.2
Республика Хакасия ; 16.0
Чеченская республика ; 25.9
Чувашская республика ; 14.0
Алтайский край ; 13.6
Краснодарский край ; 13.1
Красноярский край ; 14.5
Приморский край ; 12.6
Ставропольский край ; 12.5
Хабаровский край ; 13.6
Амурская область ; 14.3
Архангельская область ; 12.8
Астраханская область ; 15.1
Белгородская область ; 11.7
Брянская область ; 11.4
Владимирская область ; 11.5
Волгоградская область ; 11.7
Вологодская область ; 13.9
Воронежская область ; 10.9
Ивановская область ; 11.0
Иркутская область ; 15.9
Калининградская область ; 12.4
Калужская область ; 11.8
Камчатский край ; 13.0
Кемеровская область ; 13.7
Кировская область ; 12.7
Костромская область ; 12.8
Курганская область ; 13.8
Курская область ; 11.9
Ленинградская область ; 9.0
Липецкая область ; 11.6
Магаданская область ; 12.4
Московская область ; 12.0
Мурманская область ; 11.7
Нижегородская область ; 11.8
Новгородская область ; 11.9
Новосибирская область ; 13.9
Омская область ; 14.9
Оренбургская область ; 14.7
Орловская область ; 11.1
Пензенская область ; 10.8
Пермский край ; 14.8
Псковская область ; 11.0
Ростовская область ; 11.7
Рязанская область ; 10.8
Самарская область ; 12.1
Саратовская область ; 11.3
Сахалинская область ; 12.8
Свердловская область ; 14.3
Смоленская область ; 10.5
Тамбовская область ; 9.6
Тверская область ; 11.6
Томская область ; 13.6
Тульская область ; 10.1
Тюменская область ; 17.2
Ульяновская область ; 11.3
Челябинская область ; 14.3
Забайкальский край ; 16.1
Ярославская область ; 11.9
Санкт-Петербург ; 12.6
Еврейская автономная область ; 14.0
Ненецкий АО ; 17.4
Ханты-Мансийский АО ; 17.6
Чукотский АО ; 14.1
Ямало-Ненецкий АО ; 16.7
Москва ; 11.3
