Республика Адыгея ; 12.5
Республика Башкортостан ; 13.7
Республика Бурятия ; 16.9
Республика Алтай ; 22.5
Республика Дагестан ; 18.1
Республика Ингушетия ; 25.9
Кабардино-Балкарская Республика ; 14.9
Республика Калмыкия ; 14.5
Республика Карачаево-Черкессия ; 13.1
Республика Карелия ; 12.0
Республика Коми ; 13.0
Республика Марий Эл ; 13.0
Республика Мордовия ; 9.5
Республика Саха  (Якутия) ; 17.1
Республика Северная Осетия ; 14.5
Республика Татарстан ; 13.4
Республика Тыва ; 27.1
Удмуртская республика ; 14.3
Республика Хакасия ; 15.1
Чеченская республика ; 28.9
Чувашская республика ; 12.9
Алтайский край ; 12.7
Краснодарский край ; 12.2
Красноярский край ; 13.5
Приморский край ; 11.9
Ставропольский край ; 11.8
Хабаровский край ; 12.9
Амурская область ; 13.5
Архангельская область ; 12.2
Астраханская область ; 14.2
Белгородская область ; 11.0
Брянская область ; 10.9
Владимирская область ; 10.9
Волгоградская область ; 11.1
Вологодская область ; 12.9
Воронежская область ; 10.2
Ивановская область ; 10.4
Иркутская область ; 15.3
Калининградская область ; 11.8
Калужская область ; 10.9
Камчатский край ; 12.4
Кемеровская область ; 12.7
Кировская область ; 11.8
Костромская область ; 12.2
Курганская область ; 12.7
Курская область ; 11.6
Ленинградская область ; 8.7
Липецкая область ; 10.7
Магаданская область ; 11.5
Московская область ; 11.2
Мурманская область ; 11.4
Нижегородская область ; 11.0
Новгородская область ; 11.5
Новосибирская область ; 13.1
Омская область ; 13.5
Оренбургская область ; 13.8
Орловская область ; 10.5
Пензенская область ; 10.1
Пермский край ; 14.0
Псковская область ; 10.5
Ростовская область ; 10.9
Рязанская область ; 10.3
Самарская область ; 11.5
Саратовская область ; 10.7
Сахалинская область ; 11.8
Свердловская область ; 13.5
Смоленская область ; 10.4
Тамбовская область ; 9.3
Тверская область ; 11.0
Томская область ; 13.1
Тульская область ; 9.4
Тюменская область ; 16.1
Ульяновская область ; 10.8
Челябинская область ; 13.6
Забайкальский край ; 15.4
Ярославская область ; 11.2
Санкт-Петербург ; 11.7
Еврейская автономная область ; 14.1
Ненецкий АО ; 15.0
Ханты-Мансийский АО ; 16.4
Чукотский АО ; 13.7
Ямало-Ненецкий АО ; 15.6
Москва ; 10.7
